"Year","cf_damage"
1914,19
1975,23
1980,2023
1982,2026.3
1982,2041.3
1987,2046.3
1991,2048.8
1992,2051.8
1992,2053.8
1994,2056.2
1994,2142.2
2010,2742.2
2014,2756.7
2016,2856.7
2018,2860.264
2018,3230.264
2018,3350.264
2018,3351.264
2018,3601.264
2018,3716.264
2019,3730.264
2020,3797.264
